Timestamp,easytouse,smsdifficulties,veg,vegexception,tmtyes,factapplicabilty1,factapplicabilty2,factapplicabilty3,factapplicabilty4,maderecipes,spillover,spillovername,feelabout,influencedhabits,similartool,othercomments,raffle
11/24/2019 14:39:02,1,No,No (all other),,No,,,,,,No,,Questions were simple but it might be better to havr clarified what prepared by me and prepared by others meant. ,Maybe slightly? ,Maybe. I've used calorie tracking tools but this might be easier. ,"I wasn't sure what the point of thw study was..
So that's a good thing probably. ",Yes
11/24/2019 14:39:30,2,I had no issues ,No (all other),,No,,,,,,No,,,,,,Yes
11/24/2019 14:40:27,1,No,No (all other),,No,,,,,,No,,Ok. Easy to do,Yes,Maybe,,Yes
11/24/2019 14:40:46,1,"No. Although the first day I actually responded to the texts, but then ate another late night meal",No (all other),,No,,,,,,No,,,Slightly. I thought a bit more about how many veggies I was eating ,,,No
11/24/2019 14:43:43,1,"It was hard to determine what was considered to be ‘made by me’. For example, does that mean me eating an apple?",No (all other),,No,,,,,,No,,Determine what was made by me was hard without a definition for what you were looking for,"Not really, but I focus on my eating very closely ",No,I’d love to know what this study is for!,Yes
11/24/2019 14:45:25,1,no issues,No (all other),,No,,,,,,No,,Fairly easy to follow and answer questions. would maybe recommend more questions about what you are specifically eating and why?,yes I was more conscious about when I ate,possibly,Do feel they could mix up the questions a bit and focus on more specifics about WHY you eat the way you do,Yes
11/24/2019 14:45:34,1,No issues,No (all other),,No,,,,,,No,,Just glad to help with friend’s study,How much fruit I eat ,No,"When asked if I prepared my food, does prepared yogurt count as ‘ I didn’t prepare it myself ?’ ",Yes
11/24/2019 14:45:49,1,No issues.,No (all other),,No,,,,,,No,,No opinion,No,No,None,Yes
11/24/2019 14:50:15,1,No issues!,No (all other),,No,,,,,,No,,I thought it was interesting and the easiest survey to complete!,"unfortunately, it did not.",Perhaps,I am somewhat curious about how the study will be ultimately used and the results.,Yes
11/24/2019 14:50:49,1,"It wasn't clear how I should count snacks.  If I eat three snacks between dinner and bedtime, is that one ""meal"" or three?",No (all other),,No,,,,,,No,,It was easy and unobtrusive.,No,"No. I am already tracking all of my meals using the ""My Fitness Pal"" app.",None,Yes
11/24/2019 14:51:11,1,No issues,No (all other),,No,,,,,,No,,I worried at first I was answering the questions wrong with respect to vegan/vegetarian. Ie cheese and butter consumption.,No,"No, I use my fitness pal for that ",,Yes
11/24/2019 14:51:45,1,no issue,No (all other),,Yes,1 - Does not match my situation at all,3,3,3,No,No,,"don't mind answering questions, don't care to receive additional facts",no,no,"willing to participate in other studies, participation was easy",Yes
11/24/2019 14:53:04,1,No issue. ,No (all other),,Yes,1 - Does not match my situation at all,5 - Matches my situation very well,1 - Does not match my situation at all,4,No,No,,,Yep! More aware of meat consumption. ,Perhaps? Depends on the type of tool. ,Great work. Simple but clear questions. I’ll be intrigued to read your findings if you could email them to me! ,Yes
11/24/2019 15:00:15,1,No,No (all other),,Yes,2,2,2,2,No,No,,Fine,"Likely, yes",No,,Yes
