ParticipantId,MeasureNum,MeasureSent,MeasureReceived,TotalNumEO,NumPreparedEO,NumMeatEO,NumFruitVegEO
DA94C772-700E-44E6-8096-0AA86D45A898,1,1,0,-1,-1,-1,-1
057F6972-C390-448B-A8DC-112E3D94069C,1,1,1,4,0,3,3
246A8EAE-AF10-47BB-B9B4-1ED73A69CAE0,1,1,1,6,4,2,4
6154B5C7-B857-456B-B23C-9BDD550590ED,1,1,1,4,1,1,1
8C312AA4-8040-4B5A-A466-B1762FF55BA5,1,1,1,4,2,0,3
5DC575E1-D8D0-47A4-88BA-CD1AAC9282B4,1,1,1,2,0,2,1
1869F4A1-8B8C-42E1-B847-D04EA7FA7593,1,1,1,4,3,1,3
D106449C-B942-486B-8490-D280253FB1DF,1,1,1,3,1,1,1
0995B88D-367B-4634-8B75-D5F76E528F5C,1,1,1,2,1,1,2
154AF184-6D86-4B7E-965A-DF65897A369C,1,1,1,4,2,4,1
7C2FDD16-51FB-4982-BE9F-F2DE6CE0E3AB,1,1,0,-1,-1,-1,-1
3363A756-9761-4B6D-9627-FC3F1F31A8C7,1,1,1,4,3,0,2
